"Station","Date","Sdepth","Wtemp","Ph","DO","Spcond","Salinity","Cruise","SECCHI","tempF"
"CB5.3",2023-07-27,0,NA,NA,NA,NA,NA,NA,NA,NA
"LE2.3",2023-07-27,0.5,82.22,8,6.8,26400,16.1,NA,"1.6",82.22
"LE2.3",2023-07-27,1,82.04,8,6.8,26400,16.1,NA,NA,82.04
"LE2.3",2023-07-27,2,82.04,8,6.8,26400,16.1,NA,NA,82.04
"LE2.3",2023-07-27,3,82.04,8,6.7,26400,16.1,NA,NA,82.04
"LE2.3",2023-07-27,4,82.04,8,6.7,26400,16.1,NA,NA,82.04
"LE2.3",2023-07-27,5,81.86,8,6.5,26500,16.2,NA,NA,81.86
"LE2.3",2023-07-27,6,81.86,8,6,26700,16.3,NA,NA,81.86
"LE2.3",2023-07-27,7,81.68,7.9,5.9,26800,16.4,NA,NA,81.68
"LE2.3",2023-07-27,8,81.5,7.9,5.7,26900,16.4,NA,NA,81.5
"LE2.3",2023-07-27,9,80.96,7.8,4.5,27300,16.8,NA,NA,80.96
"LE2.3",2023-07-27,10,79.16,7.2,0.2,29400,18.2,NA,NA,79.16
"LE2.3",2023-07-27,11,79.52,7.2,0.3,29400,18.3,NA,NA,79.52
"LE2.3",2023-07-27,12,79.7,7.3,0.3,29700,18.3,NA,NA,79.7
"LE2.3",2023-07-27,13,79.88,7.3,0.6,30200,18.7,NA,NA,79.88
"LE2.3",2023-07-27,14,79.88,7.3,0.6,30300,18.7,NA,NA,79.88
"LE2.3",2023-07-27,15,79.88,7.3,0.6,30300,18.8,NA,NA,79.88
"LE2.3",2023-07-27,16,79.7,7.3,0.6,30300,18.8,NA,NA,79.7
"LE2.3",2023-07-27,17,79.7,7.3,0.7,30300,18.8,NA,NA,79.7
"CB5.2",2023-07-27,0.5,81.86,7.9,6.3,27100,16.6,NA,"1.5",81.86
"CB5.2",2023-07-27,1,81.68,7.9,6.2,27100,16.6,NA,NA,81.68
"CB5.2",2023-07-27,2,81.68,7.9,6.2,27100,16.6,NA,NA,81.68
"CB5.2",2023-07-27,3,81.68,7.9,6.1,27100,16.6,NA,NA,81.68
"CB5.2",2023-07-27,4,81.68,7.9,6,27100,16.6,NA,NA,81.68
"CB5.2",2023-07-27,5,81.68,7.9,6,27000,16.6,NA,NA,81.68
"CB5.2",2023-07-27,6,81.68,7.9,5.7,27200,16.6,NA,NA,81.68
"CB5.2",2023-07-27,7,81.68,7.9,5.8,27200,16.6,NA,NA,81.68
"CB5.2",2023-07-27,8,81.68,7.9,5.8,27100,16.6,NA,NA,81.68
"CB5.2",2023-07-27,9,81.68,7.8,5.7,27200,16.6,NA,NA,81.68
"CB5.2",2023-07-27,10,81.68,7.8,5.7,27200,16.6,NA,NA,81.68
"CB5.2",2023-07-27,11,81.5,7.8,5.6,27200,16.6,NA,NA,81.5
"CB5.2",2023-07-27,12,78.62,7.2,0.5,31000,19.2,NA,NA,78.62
"CB5.2",2023-07-27,13,78.26,7.2,0.2,31500,19.6,NA,NA,78.26
"CB5.2",2023-07-27,14,78.08,7.2,0.2,31600,19.7,NA,NA,78.08
"CB5.2",2023-07-27,15,78.26,7.2,0.2,32000,19.9,NA,NA,78.26
"CB5.2",2023-07-27,16,78.26,7.2,0.2,32000,20,NA,NA,78.26
"CB5.2",2023-07-27,17,77.9,7.2,0.2,32000,20,NA,NA,77.9
"CB5.2",2023-07-27,18,78.08,7.2,0.2,32200,20.1,NA,NA,78.08
"CB5.2",2023-07-27,19,78.44,7.2,0.2,32400,20.2,NA,NA,78.44
"CB5.2",2023-07-27,21,78.26,7.2,0.2,32600,20.3,NA,NA,78.26
"CB5.2",2023-07-27,23,77.9,7.2,0.2,32700,20.4,NA,NA,77.9
"CB5.2",2023-07-27,25,77.54,7.2,0.2,32700,20.4,NA,NA,77.54
"CB5.2",2023-07-27,27,76.64,7.2,0.2,32700,20.4,NA,NA,76.64
"CB5.2",2023-07-27,29,76.1,7.2,0.3,32700,20.5,NA,NA,76.1
"CB5.1",2023-07-27,0.5,82.58,8.1,7.4,26100,15.9,NA,"1.5",82.58
"CB5.1",2023-07-27,1,82.4,8.1,7.5,26100,15.9,NA,NA,82.4
"CB5.1",2023-07-27,2,82.4,8.1,7.5,26100,15.9,NA,NA,82.4
"CB5.1",2023-07-27,3,82.4,8.1,7.4,26000,15.9,NA,NA,82.4
"CB5.1",2023-07-27,4,82.22,8.1,7.4,26000,15.9,NA,NA,82.22
"CB5.1",2023-07-27,5,82.22,8,7.2,26100,15.9,NA,NA,82.22
"CB5.1",2023-07-27,6,82.04,8,7.1,26100,15.9,NA,NA,82.04
"CB5.1",2023-07-27,7,82.04,8,7.1,26100,15.9,NA,NA,82.04
"CB5.1",2023-07-27,8,82.04,8,7.1,26100,15.9,NA,NA,82.04
"CB5.1",2023-07-27,9,82.22,8,7.1,26100,15.9,NA,NA,82.22
"CB5.1",2023-07-27,10,82.22,8,7,26100,15.9,NA,NA,82.22
"CB5.1",2023-07-27,11,82.22,8,7,26200,15.9,NA,NA,82.22
"CB5.1",2023-07-27,12,82.22,8,7,26200,15.9,NA,NA,82.22
"CB5.1",2023-07-27,13,82.04,8,6.9,26200,16,NA,NA,82.04
"CB5.1",2023-07-27,14,81.86,8,6.7,26200,16,NA,NA,81.86
"CB5.1",2023-07-27,15,79.7,7.6,3.4,28000,17.2,NA,NA,79.7
"CB5.1",2023-07-27,16,76.82,7.2,0.2,30700,19.1,NA,NA,76.82
"CB5.1",2023-07-27,17,75.92,7.2,0.1,31900,19.9,NA,NA,75.92
"CB5.1",2023-07-27,18,75.92,7.2,0.1,32100,20,NA,NA,75.92
"CB5.1",2023-07-27,19,75.74,7.2,0.1,32200,20.1,NA,NA,75.74
"CB5.1",2023-07-27,21,75.56,7.2,0.2,32400,20.2,NA,NA,75.56
"CB5.1",2023-07-27,23,75.56,7.2,0.2,32400,20.2,NA,NA,75.56
"CB5.1",2023-07-27,25,75.56,7.2,0.2,32400,20.2,NA,NA,75.56
"CB5.1",2023-07-27,27,75.56,7.2,0.2,32400,20.3,NA,NA,75.56
"CB5.1",2023-07-27,29,75.56,7.2,0.2,32500,20.3,NA,NA,75.56
"CB5.1",2023-07-27,31,75.38,7.2,0.2,32600,20.4,NA,NA,75.38
"CB5.1",2023-07-27,33,75.2,7.2,0.2,32600,20.4,NA,NA,75.2
"CB5.1",2023-07-27,34,75.02,7.2,0.3,32600,20.4,NA,NA,75.02
"CB4.4",2023-07-27,0.5,82.58,8.1,7.6,26000,15.8,NA,"1.5",82.58
"CB4.4",2023-07-27,1,82.58,8.1,7.8,26000,15.8,NA,NA,82.58
"CB4.4",2023-07-27,2,82.4,8.1,7.7,26000,15.8,NA,NA,82.4
"CB4.4",2023-07-27,3,82.4,8.1,7.6,26000,15.8,NA,NA,82.4
"CB4.4",2023-07-27,4,82.4,8.1,7.5,26000,15.8,NA,NA,82.4
"CB4.4",2023-07-27,5,82.4,8.1,7.5,26000,15.8,NA,NA,82.4
"CB4.4",2023-07-27,6,82.22,8.1,7.3,26000,15.8,NA,NA,82.22
"CB4.4",2023-07-27,7,82.22,8.1,7.2,26000,15.8,NA,NA,82.22
"CB4.4",2023-07-27,8,82.22,8,7.1,26000,15.8,NA,NA,82.22
"CB4.4",2023-07-27,9,82.04,8,7,26000,15.8,NA,NA,82.04
"CB4.4",2023-07-27,10,82.04,8,6.9,26000,15.8,NA,NA,82.04
"CB4.4",2023-07-27,11,81.68,8,6.2,26300,16,NA,NA,81.68
"CB4.4",2023-07-27,12,80.78,7.8,4.5,26800,16.4,NA,NA,80.78
"CB4.4",2023-07-27,13,79.52,7.5,2.9,27600,16.9,NA,NA,79.52
"CB4.4",2023-07-27,14,78.62,7.3,1.4,28500,17.5,NA,NA,78.62
"CB4.4",2023-07-27,15,77.54,7.2,0.7,29100,17.9,NA,NA,77.54
"CB4.4",2023-07-27,16,76.64,7.2,0.1,30000,18.6,NA,NA,76.64
"CB4.4",2023-07-27,17,76.28,7.2,0.2,30300,18.8,NA,NA,76.28
"CB4.4",2023-07-27,18,76.1,7.2,0.2,31000,19.2,NA,NA,76.1
"CB4.4",2023-07-27,19,76.1,7.2,0.1,31000,19.3,NA,NA,76.1
"CB4.4",2023-07-27,20,75.92,7.2,0.2,31200,19.4,NA,NA,75.92
"CB4.4",2023-07-27,21,75.92,7.2,0.2,31200,19.4,NA,NA,75.92
"CB4.4",2023-07-27,22,75.92,7.2,0.2,31300,19.5,NA,NA,75.92
"CB4.4",2023-07-27,23,75.92,7.2,0.2,31500,19.6,NA,NA,75.92
"CB4.4",2023-07-27,24,75.74,7.2,0.2,31700,19.7,NA,NA,75.74
"CB4.4",2023-07-27,25,75.74,7.2,0.2,31800,19.8,NA,NA,75.74
"CB4.4",2023-07-27,26,75.56,7.2,0.2,32000,20,NA,NA,75.56
"CB4.4",2023-07-27,27,75.56,7.2,0.2,32100,20,NA,NA,75.56
