year,Habitat,volume,percent,color,level
2013,Unsuitable,4.6616,21.46,black,0
2014,Unsuitable,2.9345,13.51,black,0
2015,Unsuitable,5.10262,23.49,black,0
2016,Unsuitable,5.46412,25.15,black,0
2017,Unsuitable,4.99667,23,black,0
2018,Unsuitable,0.673,3.1,black,0
2019,Unsuitable,6.42834,29.59,black,0
2020,Unsuitable,6.16772,28.39,black,0
2023,Unsuitable,2.47216,11.41,black,0
2013,Marginal,1.79613,8.27,orange,1
2014,Marginal,0.74616,3.43,orange,1
2015,Marginal,0.96126,4.42,orange,1
2016,Marginal,3.79891,17.49,orange,1
2017,Marginal,0.49785,2.29,orange,1
2018,Marginal,0.45,2.07,orange,1
2019,Marginal,9.49091,43.69,orange,1
2020,Marginal,2.91329,13.41,orange,1
2023,Marginal,0.77191,3.56,orange,1
2013,Tolerable,2.37149,10.92,yellow,2
2014,Tolerable,1.27166,5.85,yellow,2
2015,Tolerable,2.11217,9.72,yellow,2
2016,Tolerable,7.76048,35.72,yellow,2
2017,Tolerable,8.03475,36.99,yellow,2
2018,Tolerable,0.66016,3.04,yellow,2
2019,Tolerable,5.63654,25.95,yellow,2
2020,Tolerable,10.49001,48.29,yellow,2
2023,Tolerable,4.3176,19.92,yellow,2
2013,Suitable,12.89432,59.36,dodgerblue,3
2014,Suitable,16.77122,77.2,dodgerblue,3
2015,Suitable,13.54749,62.36,dodgerblue,3
2016,Suitable,4.70003,21.64,dodgerblue,3
2017,Suitable,8.19427,37.72,dodgerblue,3
2018,Suitable,19.94038,91.79,dodgerblue,3
2019,Suitable,0.16775,0.77,dodgerblue,3
2020,Suitable,2.15252,9.91,dodgerblue,3
2023,Suitable,14.10987,65.11,dodgerblue,3
