year,Habitat,volume,percent,color,level
2013,Unsuitable,7.8239625,17.2,black,0
2014,Unsuitable,2.4505625,5.39,black,0
2015,Unsuitable,6.7380175,14.81,black,0
2016,Unsuitable,10.90277,23.96,black,0
2017,Unsuitable,7.536745,16.56,black,0
2018,Unsuitable,3.0493425,6.7,black,0
2019,Unsuitable,12.84036,28.21,black,0
2020,Unsuitable,10.920505,23.99,black,0
2023,Unsuitable,4.8305875,12.67,black,0
2013,Marginal,4.5307775,9.96,orange,1
2014,Marginal,1.46655,3.22,orange,1
2015,Marginal,2.8270125,6.21,orange,1
2016,Marginal,11.1437075,24.49,orange,1
2017,Marginal,3.82227,8.4,orange,1
2018,Marginal,1.1957025,2.63,orange,1
2019,Marginal,17.312665,38.04,orange,1
2020,Marginal,8.2265125,18.07,orange,1
2023,Marginal,2.038995,5.35,orange,1
2013,Tolerable,6.5545225,14.41,yellow,2
2014,Tolerable,2.7225475,5.98,yellow,2
2015,Tolerable,5.7174075,12.57,yellow,2
2016,Tolerable,14.2645525,31.35,yellow,2
2017,Tolerable,19.702435,43.28,yellow,2
2018,Tolerable,3.2634575,7.17,yellow,2
2019,Tolerable,14.22307,31.25,yellow,2
2020,Tolerable,19.6521075,43.16,yellow,2
2023,Tolerable,9.6369275,25.27,yellow,2
2013,Suitable,26.5864925,58.44,dodgerblue,3
2014,Suitable,38.8663925,85.41,dodgerblue,3
2015,Suitable,30.2062975,66.4,dodgerblue,3
2016,Suitable,9.18497,20.19,dodgerblue,3
2017,Suitable,14.4594625,31.76,dodgerblue,3
2018,Suitable,38.01192,83.51,dodgerblue,3
2019,Suitable,1.14051,2.51,dodgerblue,3
2020,Suitable,6.7293475,14.78,dodgerblue,3
2023,Suitable,21.6327275,56.72,dodgerblue,3
