UTMX,UTMY,Segment,Sdepth,volume_m,DO,Wtemp,uniqueID,Sdepthm,habitat,keep,milesX,milesY,color
300500,4254500,POTOH,4.92126,250000,6.83,82.7,300500 4254500,1.5,Tolerable,YES,186.7219855,35.1074615000002,yellow
300500,4254500,POTOH,6.56168,250000,6.78,82.8,300500 4254500,2,Tolerable,YES,186.7219855,35.1074615000002,yellow
300500,4254500,POTOH,0,250000,6.97,82.4,300500 4254500,0,Suitable,YES,186.7219855,35.1074615000002,dodgerblue
300500,4254500,POTOH,1.64042,250000,6.93,82.5,300500 4254500,0.5,Tolerable,YES,186.7219855,35.1074615000002,yellow
300500,4254500,POTOH,3.28084,250000,6.88,82.6,300500 4254500,1,Tolerable,YES,186.7219855,35.1074615000002,yellow
301000,4265500,POTOH,8.2021,250000,6.17,83.1,301000 4265500,2.5,Tolerable,YES,187.032671,41.9425425000004,yellow
301000,4265500,POTOH,4.92126,250000,6.25,83.1,301000 4265500,1.5,Tolerable,YES,187.032671,41.9425425000004,yellow
301000,4265500,POTOH,3.28084,250000,6.3,83.1,301000 4265500,1,Tolerable,YES,187.032671,41.9425425000004,yellow
301000,4265500,POTOH,0,250000,6.39,83.1,301000 4265500,0,Tolerable,YES,187.032671,41.9425425000004,yellow
301000,4265500,POTOH,9.84252,250000,6.06,83,301000 4265500,3,Tolerable,YES,187.032671,41.9425425000004,yellow
301000,4265500,POTOH,11.48294,250000,6.03,83,301000 4265500,3.5,Tolerable,YES,187.032671,41.9425425000004,yellow
301000,4265500,POTOH,6.56168,250000,6.2,83.1,301000 4265500,2,Tolerable,YES,187.032671,41.9425425000004,yellow
301000,4265500,POTOH,1.64042,250000,6.35,83.1,301000 4265500,0.5,Tolerable,YES,187.032671,41.9425425000004,yellow
301000,4266000,POTOH,4.92126,250000,6.23,83.1,301000 4266000,1.5,Tolerable,YES,187.032671,42.253228,yellow
301000,4266000,POTOH,13.12336,250000,6.29,83.4,301000 4266000,4,Tolerable,YES,187.032671,42.253228,yellow
301000,4266000,POTOH,3.28084,250000,6.28,83.1,301000 4266000,1,Tolerable,YES,187.032671,42.253228,yellow
301000,4266000,POTOH,9.84252,250000,6.05,83,301000 4266000,3,Tolerable,YES,187.032671,42.253228,yellow
